summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
220766596,0524700,2015-05-09 09:05:00,,EMPLOYEE DIES FROM FALL OFF OF AN ELEVATED TANK RIM,"ELEVATED WORK PLATFORM,LADDER,RIGGING,FALL",,,,,,,X,,,2017-02-24 01:00:54.645861
220894620,0454712,2016-09-26 10:09:00,,EMPLOYEE FALLS FROM WINDOW OPENING AND IS KILLED,"FALL,GUARDRAIL",H,2,,A,A,,X,,,2017-02-24 01:00:54.645861
220174155,0111700,2012-02-02 01:02:00,,EMPLOYEE IS INJURED WHEN STRUCK BY FORKLIFT,"STRUCK BY,INDUSTRIAL TRUCK,LEG,FRACTURE",,,,,,,,,,2017-02-24 01:00:54.645861
220103923,0626700,2012-03-12 09:03:00,,EMPLOYEES FALLS 23 FEET WHEN INSTALLING AIR CONDITIONING UNI,"UNGUARDED,FLOOR OPENING,FALL PROTECTION,FALL",C,1,22,A,A,,X,,,2017-02-24 01:00:54.645861
220747760,0950624,2015-03-11 10:03:00,,EMPLOYEE IS KILLED WHEN CAUGHT IN BETWEEN UNGUARDED EQUIPMEN,"CAUGHT IN,ROTATING SHAFT,ASPHYXIATED,LOCKOUT/TAGOUT,MACHINE GUARDING,AGRICULTURE,ROTATING PARTS",,,,,,,X,,,2017-02-24 01:00:54.645861
220181952,0317900,2012-05-18 09:05:00,,EMPLOYEE DIES FROM ASPHYXIATION WHEN PINNED BY PAPER ROLLS,"PINNED,FALLING OBJECT,RAILROAD,ASPHYXIATED",,,,,,,X,,,2017-02-24 01:00:54.645861
220291355,0625400,2012-05-16 06:05:00,,"EMPLOYEE FRACTURES NECK, ARMS, AND LEG IN FALL FROM HEIGHT.","TELECOM WORK,TOWER,ARM,FALL,FRACTURE,NECK,LEG,FALL PROTECTION,CONSTRUCTION",,1,104,,A,,,,,2017-02-24 01:00:54.645861
220147151,0214500,2012-04-14 02:04:00,,EMPLOYEE IS KILLED WHEN STRUCK BY CONCRETE SLAB,"STRUCK BY,EARTHMOVING EQUIP,FALLING OBJECT,CONCRETE",A,0,0,A,C,,X,,,2017-02-24 01:00:54.645861
220766745,0950615,2015-05-05 01:05:00,,EMPLOYEE IS INJURED IN FALL FROM AN ELEVATED HEIGHT,"SHOULDER,BACK,HEAD,FRACTURE,FALL",,,,,,,,,,2017-02-24 01:00:54.645861
220814016,0418800,2015-11-12 04:11:00,,AN EMPLOYEE IN A CANOE FALLS INTO A LAKE AND DROWNS,"ASPHYXIATED,BOAT,DROWNING,LIFE JACKET",,,,,,,X,,,2017-02-24 01:00:54.645861
