summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
220150759,333960227,0,,21,13,5,5,13,8,869,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220151153,333974624,0,,6,19,2,1,5,4,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220151559,333988624,0,,12,4,30,1,18,14,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220152151,333887024,0,,12,13,8,1,17,17,,1,1,,9,9,,,,1,2017-02-24 01:00:54.721979
220152755,333980423,0,,,,,,,,,,2,,,,,,,1,2017-02-24 01:00:54.721979
220152755,333980423,0,,21,16,29,1,18,1,875,1,1,,,,,,,2,2017-02-24 01:00:54.721979
220152953,331898213,0,,1,16,39,1,18,10,136,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220153555,332834811,0,,3,1,27,2,8,11,856,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220153753,333978237,0,,21,5,24,1,8,14,804,1,2,,50,50,6,,,1,2017-02-24 01:00:54.721979
220153951,334025228,0,,21,11,30,2,8,1,779,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220154959,333325454,0,,5,8,23,1,8,20,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220155352,334084845,0,,6,13,42,5,13,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220155550,334089224,0,,12,19,5,5,13,18,539,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220156350,334094828,0,,21,13,25,5,18,6,593,1,1,,17,,16,,,1,2017-02-24 01:00:54.721979
220156756,334094224,0,,10,,,1,17,,36,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220157150,333950624,0,,5,24,43,14,8,14,,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220157150,333963239,0,,5,24,43,14,8,14,,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220157754,334123221,0,,21,13,26,1,5,1,783,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220158356,333299535,0,,20,15,42,5,13,6,783,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220158752,334118239,0,,6,20,43,5,8,1,889,1,2,,14,69,,,,1,2017-02-24 01:00:54.721979
220158950,334144029,0,,6,13,43,14,18,14,783,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220159750,334179637,0,,21,31,43,14,18,14,,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220159958,334187838,0,,3,13,42,5,13,1,495,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220160154,334191640,0,,5,19,15,14,18,20,575,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220161558,331910067,0,,7,12,26,7,1,10,779,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220161756,334202652,0,,7,13,42,6,13,14,77,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220766786,340621663,0,,12,2,2,1,5,14,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220766802,340624733,0,,7,16,21,1,3,9,519,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220766869,340625128,0,,12,11,27,6,8,1,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220766877,340625169,0,,1,10,26,2,8,1,,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220766927,340623115,0,,1,10,26,2,1,9,,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220767016,340626522,0,,12,16,26,2,8,1,0,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767081,340626670,0,,12,11,5,5,18,9,0,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767107,340627074,0,,12,14,43,4,18,14,447,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767206,340627785,0,,21,13,24,1,8,6,783,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220767230,340628411,0,,21,31,43,14,18,14,0,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767313,340629443,0,,1,11,28,1,18,1,703,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220767347,340625490,0,,1,10,27,2,1,1,804,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220767370,340630029,0,,1,10,26,2,1,1,65,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220767446,340630169,0,,1,10,26,2,1,1,539,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767453,340630391,0,,21,5,29,2,18,1,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767479,340630938,0,,12,11,30,2,8,14,856,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767487,340630961,0,,2,19,30,12,13,8,779,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767495,340629716,0,,1,10,26,2,1,13,519,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220767511,340631589,0,,1,10,30,2,1,1,0,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767529,340631431,0,,21,13,43,1,6,11,806,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767545,340631886,0,,1,10,26,2,1,10,519,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767560,340628114,0,,10,20,15,13,18,14,575,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220767578,340632488,0,,21,18,29,1,6,6,804,1,2,,50,70,26,,,1,2017-02-24 01:00:54.721979
220767578,340633361,0,,21,18,29,1,6,6,804,1,2,,50,70,26,,,1,2017-02-24 01:00:54.721979
220767644,340632850,0,,3,4,42,5,13,9,55,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767651,340632884,0,,10,12,43,13,13,13,235,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767669,340633023,0,,1,11,43,2,2,6,,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220767719,340633411,0,,2,20,43,1,6,1,479,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220767735,340633205,0,,12,31,43,6,18,4,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767776,340615863,0,,12,2,5,5,13,4,889,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220767818,340634633,0,,7,13,27,5,8,9,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767826,340634526,0,,21,31,42,2,13,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767842,340635150,0,,21,20,43,4,18,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220767859,340635119,0,,3,16,43,4,18,1,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767867,340635374,0,,12,31,43,5,18,1,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767933,340636331,0,,7,12,26,2,1,1,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220767974,340630516,0,,12,18,26,1,8,1,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768071,340640317,0,,12,14,5,4,13,14,877,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768089,340640523,0,,12,14,26,5,18,1,,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768097,340640879,0,,12,13,39,1,6,14,496,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220768105,340640341,0,,7,10,26,14,18,9,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768113,340640655,0,,1,10,26,2,2,14,779,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220768121,340641075,0,,3,13,29,1,18,14,875,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220768147,340640994,0,,1,24,26,2,18,1,637,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768154,340641356,0,,7,10,26,2,1,17,327,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768162,340634294,0,,5,12,15,14,18,6,19,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768204,340641927,0,,12,2,26,2,3,13,779,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768220,340642321,0,,3,28,26,2,8,14,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768253,340634443,0,,1,10,26,2,2,1,686,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768287,340643634,0,,7,2,26,2,2,17,,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768337,340636869,0,,7,12,26,2,1,13,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768345,340636984,0,,12,11,27,1,8,14,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768352,340637099,0,,1,10,26,1,3,1,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768360,340637123,0,,4,31,9,9,9,1,999,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220768394,340645019,0,,7,18,28,2,8,14,889,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768410,340645126,0,,7,12,26,2,2,18,764,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768477,340644996,0,,12,10,26,2,1,18,873,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220768485,340646603,0,,21,31,16,12,18,14,417,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220768519,340640697,0,,1,12,26,2,1,1,,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220768535,340647528,0,,1,10,26,1,18,9,727,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220768543,340647494,0,,12,13,42,5,18,1,235,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220769533,340468222,0,,18,5,19,1,15,17,615,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220769780,340381474,0,,9,20,42,5,13,14,595,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220770234,340665934,0,,12,19,42,5,13,1,869,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220770234,340666239,0,,12,19,42,5,13,1,869,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220770432,340493006,0,,10,4,15,13,18,6,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220771240,340674100,0,,21,4,30,2,18,1,487,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220771455,340380914,0,,9,20,42,5,13,14,595,1,1,,43,,15,,,1,2017-02-24 01:00:54.721979
220771489,340676600,0,,21,16,26,5,13,6,804,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220771539,340675735,0,,21,31,43,12,18,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220771604,340678937,0,,3,13,43,2,8,1,599,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220771935,340683846,0,,21,31,43,1,18,1,486,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220772081,340685833,0,,7,13,29,2,6,4,805,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220772131,340686617,0,,21,28,41,14,18,1,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220772180,340684158,0,,18,31,7,5,6,1,889,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220772693,340692672,0,,21,28,41,14,18,14,0,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220773485,340213305,0,,3,5,24,2,8,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220774061,340709484,0,,21,4,23,12,17,1,889,1,1,8330,,,,,,1,2017-02-24 01:00:54.721979
220774087,340709682,0,,21,4,26,2,8,1,779,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220774129,340709914,0,,21,31,43,14,18,14,453,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220774343,340713015,0,,21,19,42,5,13,1,587,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220774442,340715010,0,,21,4,27,1,18,1,856,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220774517,340716257,0,,21,3,7,14,17,8,875,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220774673,340717495,0,,21,13,41,1,17,1,53,1,1,,48,,,,,1,2017-02-24 01:00:54.721979
220774756,340718352,0,,15,31,23,14,11,14,136,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220774830,340718949,0,,10,4,15,13,18,4,575,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220774939,340697630,0,,21,13,12,1,5,9,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220775001,340721018,0,,21,5,43,1,18,1,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775068,340719673,0,,7,16,27,2,8,14,364,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220775175,340722321,0,,2,5,30,6,18,9,136,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775217,340722669,0,,21,4,43,14,18,14,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775225,340698612,0,,21,13,25,5,18,14,999,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775324,340723790,0,,21,13,30,1,18,10,643,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775399,340724806,0,,21,13,43,1,6,1,506,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775449,340724996,0,,21,28,43,14,18,14,354,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775456,340716893,0,,2,31,43,2,17,9,486,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220775977,340732163,0,,12,13,30,1,13,14,806,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220777213,340405083,0,,21,19,30,2,14,8,889,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220777965,340749530,0,,21,16,43,4,18,14,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220780621,340505825,0,,7,4,8,6,7,14,443,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220780886,340778067,0,,21,5,43,12,18,14,579,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220784003,340809599,0,,12,13,24,1,8,6,849,1,2,,35,,26,,,1,2017-02-24 01:00:54.721979
220787964,340185875,0,,10,2,15,13,5,1,595,1,1,,43,,,,,1,2017-02-24 01:00:54.721979
220790190,340465368,0,,21,31,9,12,18,19,514,1,1,9965,,,,,,1,2017-02-24 01:00:54.721979
220793657,339996811,0,,21,3,28,1,8,1,783,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220793921,340506237,0,,2,4,26,2,6,18,0,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220794226,340496116,0,,1,12,43,2,3,11,717,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220799811,340958339,0,,6,13,8,5,13,9,595,1,1,,43,,30,,,1,2017-02-24 01:00:54.721979
220161954,334207230,0,,21,31,4,14,18,14,498,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220163356,334222239,0,,6,13,42,5,13,9,,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220163364,334175643,0,,21,31,48,8,18,11,225,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220164552,334167434,0,,12,10,26,2,1,9,867,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220164958,334254927,0,,12,13,42,5,8,18,849,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220165161,334251154,0,,21,5,30,1,13,1,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220165757,334270543,0,,1,13,43,1,6,13,519,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220167159,334281912,0,,2,20,21,2,18,10,588,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220167951,334299328,0,,10,4,15,13,18,1,63,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220167951,334299328,0,,10,4,39,13,18,1,,2,1,,,,,,,2,2017-02-24 01:00:54.721979
220168553,334305711,0,,12,20,27,2,8,11,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220168751,334311511,0,,3,13,25,13,18,14,576,1,2,,25,,,,,1,2017-02-24 01:00:54.721979
220169155,334313111,0,,6,21,43,1,15,14,804,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220169353,334313517,0,,2,28,9,8,7,8,804,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220169759,334323755,0,,21,4,42,5,18,1,614,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220170559,332801448,0,,1,10,26,2,1,18,,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220170955,334094075,0,,1,12,26,2,1,1,747,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220171763,334358926,0,,10,29,15,13,13,13,519,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220172159,332427970,0,,5,13,16,14,7,14,549,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220172357,334365913,0,,6,13,43,1,13,10,424,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220172555,334372117,0,,22,11,43,14,18,14,539,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220174155,331906800,0,,12,16,30,1,8,14,873,2,1,,,,,,,1,2017-02-24 01:00:54.721979
220174353,334398732,0,,2,4,43,14,18,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220174957,334389921,0,,21,5,24,6,8,1,876,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220175350,334395134,0,,,5,26,1,6,6,849,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220175558,334423357,0,,3,19,42,5,13,9,614,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220175756,332425206,0,,1,10,28,2,3,1,779,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220175954,334392511,0,,12,13,,1,5,14,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220175954,334392511,0,,21,4,23,1,15,9,224,1,2,,,,,,,2,2017-02-24 01:00:54.721979
220175954,334392511,0,,21,4,23,6,5,4,,1,1,,,,,,,3,2017-02-24 01:00:54.721979
220176556,334439759,0,,10,19,15,13,18,1,479,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220177158,334440732,0,,21,13,26,1,7,1,,1,2,1410,,,,,,1,2017-02-24 01:00:54.721979
220177562,334454154,0,,2,28,12,2,3,14,,1,2,S777,52,52,3,,,1,2017-02-24 01:00:54.721979
220177570,334454162,0,,1,10,26,2,3,14,686,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220177950,334431335,0,,5,13,34,14,10,18,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220178164,334457132,0,,1,1,4,1,18,8,999,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220178354,334472933,0,,12,16,8,1,8,11,575,1,2,,29,63,26,,,1,2017-02-24 01:00:54.721979
220178354,334469574,0,,12,16,8,1,8,11,575,1,2,,29,63,26,,,1,2017-02-24 01:00:54.721979
220179550,334393535,0,,3,16,43,1,18,14,869,2,1,,51,51,7,,,1,2017-02-24 01:00:54.721979
220179550,334393535,0,,3,5,29,1,18,14,869,1,1,,51,51,7,,,2,2017-02-24 01:00:54.721979
220179550,334393535,0,,3,12,29,1,18,14,869,2,1,,51,51,7,,,3,2017-02-24 01:00:54.721979
220179550,334393535,0,,3,16,29,1,18,14,869,2,2,,51,51,7,,,4,2017-02-24 01:00:54.721979
220179956,334494739,0,,12,16,27,1,6,10,779,2,2,,,,,,,1,2017-02-24 01:00:54.721979
220180954,334520574,0,,21,4,43,1,5,9,65,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220181556,334502937,0,,10,12,15,13,18,18,576,1,1,,29,,14,,,1,2017-02-24 01:00:54.721979
220181952,334427549,0,,2,4,43,2,6,10,823,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220182158,334445335,0,,3,5,29,2,13,14,805,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220183552,334550746,0,,21,13,27,1,1,1,844,1,1,,6,6,4,,,1,2017-02-24 01:00:54.721979
220183750,334507936,0,,21,13,25,5,18,14,,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220184352,334561545,0,,21,5,38,2,18,1,519,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220184550,334556131,0,,21,13,26,2,3,4,779,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220184956,333900835,0,,3,13,42,5,14,14,569,3,2,,,,,,,1,2017-02-24 01:00:54.721979
220185151,334561149,0,,12,5,43,5,13,1,869,1,1,,23,66,20,,,1,2017-02-24 01:00:54.721979
220185557,334585130,0,,6,13,43,1,6,1,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220185953,334587979,0,,12,13,42,5,17,14,595,1,1,,43,,,,,1,2017-02-24 01:00:54.721979
220186159,331906966,0,,,,,,,,,,2,,43,43,25,,,1,2017-02-24 01:00:54.721979
220186167,334576931,0,,7,13,2,1,8,14,,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220186357,334592938,0,,21,5,43,1,8,10,804,1,2,,,,,,,1,2017-02-24 01:00:54.721979
220187355,334611340,0,,3,16,43,1,,,,3,1,,,,,,,1,2017-02-24 01:00:54.721979
220188767,333968634,0,,21,31,43,1,6,10,999,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220189351,334641990,0,,6,13,26,1,5,9,519,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220189559,334611936,0,,21,19,38,6,8,11,826,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220189765,334644580,0,,21,20,8,2,6,14,889,1,1,,,,,,,1,2017-02-24 01:00:54.721979
220190359,334626983,0,,3,13,42,5,18,9,527,1,1,,24,,19,,,1,2017-02-24 01:00:54.721979
220190359,334629193,0,,3,13,42,5,18,9,527,1,1,,24,,19,,,1,2017-02-24 01:00:54.721979
220190557,334662780,0,,6,19,8,5,13,6,588,1,2,,12,70,20,,,1,2017-02-24 01:00:54.721979
220190557,334759180,0,,6,19,8,5,13,6,588,1,2,,12,70,20,,,1,2017-02-24 01:00:54.721979
220190557,334866183,0,,6,19,8,5,13,6,588,1,2,,12,70,20,,,1,2017-02-24 01:00:54.721979
